StoreNumber,City,State,District,Latitude,Longitude
1111,El Dorado,AR,11111,33.214165,-92.662539
5360,Calhoun,GA,9235,34.480455,-84.944561
5367,Clarksville,TN,9134,36.57977,-87.410382
5502,Stockbridge,GA,10631,33.55377,-84.258402
5503,Cartersville,GA,9235,34.201966,-84.789622
5505,Suffolk,VA,10240,36.746751,-76.582565
5508,Gulfport,MS,9435,30.42246,-89.091181
5509,Murfreesboro,TN,9138,35.847984,-86.427439
5510,Fayetteville,TN,9138,35.136371,-86.566483
5526,Mount Dora,FL,9531,28.819858,-81.672814
5528,Roanoke,VA,10233,37.302235,-79.960416
5531,Brookhaven,MS,9440,31.579851,-90.468936
5532,Crowley,LA,9436,30.231157,-92.365002
5593,Northport,AL,9433,33.235899,-87.613179
5595,Plant City,FL,9537,27.986476,-82.120985
5596,Clarksville,TN,9134,36.5938,-87.289357
5597,Sulphur,LA,9437,30.233224,-93.326244
5619,Jesup,GA,10633,31.617468,-81.873152
5621,Morgan City,LA,9432,29.681972,-91.268257
5622,Lafayette,LA,9437,30.238912,-92.013857
5624,Anniston,AL,9239,33.720077,-85.818158
5625,Athens,AL,9232,34.78727,-86.957134
5626,Hopkinsville,KY,9134,36.829009,-87.471568
5627,Burleson,TX,9834,32.529218,-97.339431
5628,Huntsville,TX,9332,30.714067,-95.568327
5656,Granbury,TX,9834,32.433674,-97.779399
5658,Sherman,TX,9835,33.671806,-96.612
5659,Haines City,FL,9536,28.125263,-81.63901
5661,Marble Falls,TX,10739,30.600089,-98.26964
5662,Natchitoches,LA,9438,31.752112,-93.067375
5663,Tomball,TX,9336,30.076103,-95.627315
5665,Mt. Pleasant,TX,9841,33.134889,-94.967677
5669,Senatobia,MS,10142,34.628173,-89.970161
5672,Richmond,TX,9335,29.559131,-95.761207
5673,Shreveport,LA,9438,32.43004,-93.711373
5675,Smyrna,TN,9131,35.972616,-86.494344
5676,Denison,TX,9835,33.760201,-96.58886
5679,Richmond,KY,9141,37.730475,-84.283566
5682,Cleveland,TN,9133,35.200131,-84.847626
5684,Alexander City,AL,9238,32.940265,-85.978124
5688,Lake Jackson,TX,9331,29.046849,-95.457763
5694,San Angelo,TX,10731,31.428318,-100.510216
5695,Angleton,TX,9331,29.184376,-95.433805
5697,Campbellsville,KY,9142,37.345279,-85.370969
5699,Middlesboro,KY,9132,36.622442,-83.705412
5701,Paducah,KY,9143,37.074257,-88.687965
5702,Thomasville,AL,9242,31.93994,-87.737557
5703,Waxahachie,TX,9833,32.417511,-96.840269
5706,Lehigh Acres,FL,9535,26.614721,-81.664649
5709,Fort Pierce,FL,9534,27.420024,-80.377088
5711,Philadelphia,MS,9433,32.76953,-89.128696
5714,Pulaski,TN,9138,35.203344,-87.059995
5715,Amarillo,TX,10733,35.158298,-101.921585
5719,Beaumont,TX,9333,30.120944,-94.16766
5724,Selmer,TN,9139,35.140428,-88.572592
5729,Lake Wales,FL,9539,27.893298,-81.554704
5732,Valley,AL,9239,32.836177,-85.177447
5734,Berryville,AR,10131,36.378015,-93.586323
5738,Florida City,FL,9541,25.456167,-80.473909
5744,Kirksville,MO,10141,40.216471,-92.582068
5746,Fayette,AL,9433,33.731518,-87.81103
5747,Neosho,MO,10139,36.840549,-94.394669
5752,Douglas,GA,10635,31.487289,-82.849037
5753,Mansfield,TX,9833,32.577996,-97.132048
5773,San Antonio,TX,10740,29.516747,-98.482969
5775,Festus,MO,10141,38.213154,-90.389479
5777,Corbin,KY,9132,36.974084,-84.102927
5781,Defuniak Springs,FL,9233,30.704689,-86.122857
5782,Harrisonville,MO,10137,38.667253,-94.366984
5783,Sedalia,MO,10132,38.709319,-93.270226
5784,West Plains,MO,10132,36.714466,-91.873727
5786,Guntersville,AL,9237,34.301268,-86.279382
5788,Sebastian,FL,9538,27.829588,-80.479591
5789,Joplin,MO,10139,37.085089,-94.546412
5793,West Columbia,SC,10637,33.981943,-81.10075
5796,Branson West,MO,10139,36.700642,-93.370263
5801,San Antonio,TX,10737,29.499598,-98.703136
5803,Troy,MO,10141,38.987361,-90.980668
5806,Indianola,IA,9938,41.373735,-93.557807
5809,Litchfield,IL,9944,39.18321,-89.667482
5811,Fort Payne,AL,9237,34.438966,-85.759793
5812,Somerset,KY,9142,37.067512,-84.621467
5813,Carthage,MS,9433,32.727343,-89.54691
5815,Jackson,AL,9242,31.557712,-87.875177
5816,Waynesboro,GA,10634,33.107,-82.025717
5819,Summerfield,FL,9531,28.963448,-81.967018
5820,Winnfield,LA,9431,31.950122,-92.654542
5821,Jonesboro,LA,9431,32.227578,-92.707913
5822,Johnson City,TN,9137,36.358389,-82.396505
6503,Mena,AR,10133,34.586949,-94.225698
6505,Bluffton,IN,9935,40.773525,-85.166231
6509,Columbus,MS,9433,33.518713,-88.436453
6511,Danville,IL,9944,40.201763,-87.629567
6512,Fort Wayne,IN,9939,41.070224,-85.200447
6513,Newton,IA,9945,41.697618,-93.013914
6515,Pooler,GA,10633,32.141654,-81.243652
6516,Benton,KY,9143,36.867682,-88.359744
6518,Knoxville,IA,9938,41.305657,-93.107675
6519,Bentonville,AR,10131,36.366442,-94.222293
6522,Fort Worth,TX,9839,32.874558,-97.269615
6523,Forrest City,AR,10134,35.029751,-90.79331
6527,Denton,TX,9839,33.192931,-97.094059
6529,Rogers,AR,10131,36.333126,-94.149248
6530,Moore,OK,10439,35.320811,-97.49251
6532,Altus,OK,10439,34.664418,-99.33331
6533,Tulsa,OK,10438,36.047729,-95.958293
6538,Fort Dodge,IA,9938,42.50558,-94.15528
6539,Maryville,MO,10137,40.330014,-94.873336
6541,Fayetteville,AR,10131,36.0511,-94.202598
6542,Niles,MI,9932,41.790333,-86.249876
6544,Commerce,GA,10639,34.245762,-83.457749
6547,Lakeland,FL,9537,28.117758,-81.974324
6548,Dallas,TX,9842,32.935565,-96.752603
6552,Newberry,SC,10638,34.281957,-81.593295
6553,El Paso,TX,10738,31.898067,-106.437178
6554,Mattoon,IL,9944,39.482822,-88.336583
6555,Mansfield,TX,9833,32.606066,-97.115721
6556,Biscoe,NC,10242,35.358571,-79.798539
6557,Vidalia,GA,10633,32.203999,-82.363026
6558,Beaver Dam,KY,9134,37.428062,-86.880558
6560,Plymouth,IN,9939,41.363093,-86.329439
6563,La Fayette,GA,9235,34.746601,-85.271265
6565,Charleston,IL,9944,39.486745,-88.155631
6566,Scottsburg,IN,9940,38.685524,-85.796186
6567,Sapulpa,OK,10438,35.987921,-96.135565
6568,McAlester,OK,10440,34.919003,-95.743927
6569,Wagoner,OK,10440,35.957379,-95.396039
6573,West Melbourne,FL,9538,28.035831,-80.648867
6574,Newport,TN,9132,35.942885,-83.209913
6578,Ada,OK,10439,34.789549,-96.653544
6581,Oklahoma City,OK,10434,35.365137,-97.530428
6582,Yukon,OK,10434,35.489142,-97.762196
6585,Paris,IL,9944,39.602812,-87.682691
6586,Linton,IN,9934,39.038022,-87.131113
6587,Broken Arrow,OK,10438,36.060408,-95.817867
6588,Woodward,OK,10434,36.41217,-99.380833
6589,Tulsa,OK,10438,36.158967,-95.885821
6591,West Helena,AR,10142,34.555916,-90.652732
6597,Spruce Pine,NC,10642,35.869287,-82.043732
6598,Nicholasville,KY,9141,37.898551,-84.564026
6601,Madison,IN,9940,38.782385,-85.378767
6605,Claremore,OK,10438,36.294573,-95.629167
6606,Edmond,OK,10434,35.664796,-97.513642
6607,Ponca City,OK,10434,36.738991,-97.071447
6609,Leesburg,FL,9531,28.840959,-81.898775
6612,Owasso,OK,10438,36.293443,-95.838623
6615,Columbia,SC,10641,34.112878,-80.887318
6618,Tulsa,OK,10438,36.046048,-95.903639
6619,Daphne,AL,9242,30.625447,-87.907102
6621,Seguin,TX,10741,29.564841,-97.942888
6622,Goose Creek,SC,10243,33.033989,-80.06165
6624,Wilmington,NC,10231,34.244171,-77.875883
6627,Fort Worth,TX,9834,32.637288,-97.369353
6628,The Woodlands,TX,9332,30.208861,-95.458464
6630,Mentor,OH,9933,41.679033,-81.305522
6631,El Reno,OK,10434,35.510027,-97.974207
6633,Albany,GA,9241,31.622964,-84.214646
6636,Dallas,TX,9835,32.995403,-96.85581
6637,Oklahoma City,OK,10434,35.638741,-97.532766
6640,Carrollton,KY,9940,38.657553,-85.129219
6645,Greenville,NC,10231,35.576934,-77.389366
6649,Adrian,MI,9932,41.874731,-84.031937
6651,Hugo,OK,10440,34.006794,-95.489581
6652,Ludington,MI,9932,43.95581,-86.400541
6660,Port Richey,FL,9537,28.283795,-82.716217
6666,Bowling Green,OH,9941,41.355856,-83.651108
6667,Madisonville,TN,9133,35.511624,-84.36114
6671,Manchester,TN,9138,35.454884,-86.045553
6676,Taylorsville,NC,10642,35.909401,-81.177573
6678,Clinton,AR,10134,35.567216,-92.452497
6679,McDonough,GA,10631,33.430724,-84.182787
6681,Springfield,MO,10139,37.182368,-93.351815
6683,Greenville,MS,10142,33.368425,-91.041052
6685,Lafayette,LA,9437,30.187057,-92.07571
6686,Orange Park,FL,9533,30.101568,-81.707248
6687,Angola,IN,9939,41.661136,-84.999024
6688,Caro,MI,9936,43.500089,-83.382214
6690,New Braunfels,TX,10741,29.684544,-98.126161
6691,South Haven,MI,9932,42.406473,-86.250541
6694,Calera,AL,9238,33.145677,-86.749616
6696,Kingsport,TN,9137,36.556396,-82.604962
6698,Wauchula,FL,9539,27.567871,-81.81505
6699,Washington Court House,OH,9937,39.523433,-83.457946
6700,Alpena,MI,9936,45.062018,-83.476672
6701,Lewisville,TX,9839,33.071937,-97.038779
6704,El Paso,TX,10738,31.682397,-106.313972
6705,Tulsa,OK,10440,36.118504,-95.852171
6706,Houston,TX,9334,29.921819,-95.60344
6707,Orlando,FL,9536,28.514332,-81.461058
